dataset,model,readout,n_seeds,train_auc_mean,train_auc_std,train_auc_ci95,val_auc_mean,val_auc_std,val_auc_ci95,test_auc_mean,test_auc_std,test_auc_ci95,gen_gap_mean
BACE,gcn,mean,10,0.6593,0.0942,0.0674,0.6338,0.0844,0.0604,0.5841,0.0803,0.0575,0.0752
BACE,gcn,sum,10,0.7129,0.022,0.0157,0.6711,0.0441,0.0315,0.6249,0.0135,0.0096,0.088
BACE,gcn,max,10,0.8232,0.0354,0.0253,0.744,0.0478,0.0342,0.7246,0.0464,0.0332,0.0986
BACE,gcn,attention,10,0.6704,0.0703,0.0503,0.643,0.0585,0.0418,0.5825,0.068,0.0486,0.0879
BACE,gin,mean,10,0.9308,0.0254,0.0182,0.8619,0.0432,0.0309,0.8365,0.0424,0.0303,0.0944
BACE,gin,sum,10,0.9146,0.02,0.0143,0.8459,0.0402,0.0288,0.8113,0.0392,0.028,0.1033
BACE,gin,max,10,0.9287,0.0315,0.0225,0.8366,0.0401,0.0287,0.7963,0.0473,0.0338,0.1325
BACE,gin,attention,10,0.9257,0.0233,0.0167,0.8581,0.0303,0.0217,0.821,0.0412,0.0295,0.1048
BACE,gat,mean,10,0.7001,0.1034,0.074,0.6565,0.1117,0.0799,0.602,0.0791,0.0566,0.0981
BACE,gat,sum,10,0.6883,0.047,0.0336,0.6499,0.0509,0.0364,0.6218,0.0429,0.0307,0.0664
BACE,gat,max,10,0.7988,0.0326,0.0233,0.7297,0.049,0.0351,0.6869,0.025,0.0179,0.1119
BACE,gat,attention,10,0.6812,0.0688,0.0492,0.6501,0.07,0.0501,0.5949,0.0775,0.0555,0.0863
BACE,graphsage,mean,10,0.7911,0.1128,0.0807,0.7594,0.0971,0.0694,0.7287,0.1101,0.0788,0.0625
BACE,graphsage,sum,10,0.7171,0.0518,0.0371,0.6662,0.0536,0.0384,0.6457,0.0682,0.0488,0.0714
BACE,graphsage,max,10,0.8743,0.0101,0.0072,0.8003,0.0436,0.0312,0.7952,0.0563,0.0402,0.0791
BACE,graphsage,attention,10,0.7211,0.0533,0.0382,0.6609,0.0565,0.0404,0.6341,0.0568,0.0406,0.0871
BBBP,gcn,mean,3,0.6298,0.0776,0.1928,0.9852,0.0,,,,,
BBBP,gcn,sum,3,0.579,0.2238,0.556,,,,,,,
BBBP,gcn,max,3,0.5151,0.0207,0.0515,,,,,,,
BBBP,gcn,attention,3,0.4892,0.1126,0.2797,,,,,,,
BBBP,gin,mean,3,0.5648,0.0679,0.1688,,,,,,,
BBBP,gin,sum,3,0.5802,0.204,0.5068,,,,,,,
BBBP,gin,max,3,0.5446,0.0332,0.0824,,,,,,,
BBBP,gin,attention,3,0.492,0.0547,0.1359,,,,,,,
BBBP,gat,mean,3,0.4723,0.1482,0.3683,,,,,,,
BBBP,gat,sum,3,0.4607,0.2017,0.5011,,,,,,,
BBBP,gat,max,3,0.4961,0.0585,0.1453,,,,,,,
BBBP,gat,attention,3,0.4926,0.1261,0.3134,,,,,,,
BBBP,graphsage,mean,3,0.4623,0.073,0.1813,,,,,,,
BBBP,graphsage,sum,3,0.4379,0.2315,0.5751,,,,,,,
BBBP,graphsage,max,3,0.519,0.0787,0.1956,,,,,,,
BBBP,graphsage,attention,3,0.4792,0.0715,0.1776,,,,,,,
